難易度	問題文	正解	偽選択肢1	偽選択肢2	偽選択肢3
3	？×？＝30	6、5	7、5	6、4	6、7
3	？×？＝36	6、6	7、6	6、5	6、8
3	？×？＝42	6、7	7、7	6、6	6、9
3	？×？＝48	6、8	7、8	6、7	6、6
3	？×？＝54	6、9	7、9	6、8	6、7
3	？×？＝7	7、1	8、1	7、0	7、3
3	？×？＝14	7、2	8、2	7、1	7、4
3	？×？＝21	7、3	8、3	7、2	7、5
3	？×？＝28	7、4	8、4	7、3	7、6
3	？×？＝35	7、5	8、5	7、4	7、7
3	？×？＝42	7、6	8、6	7、5	7、8
3	？×？＝49	7、7	8、7	7、6	7、9
3	？×？＝56	7、8	8、8	7、7	7、6
3	？×？＝63	7、9	8、9	7、8	7、7
3	？×？＝8	8、1	9、1	8、0	8、3
3	？×？＝16	8、2	9、2	8、1	8、4
3	？×？＝24	8、3	9、3	8、2	8、5
3	？×？＝32	8、4	9、4	8、3	8、6
3	？×？＝40	8、5	9、5	8、4	8、7
3	？×？＝48	8、6	9、6	8、5	8、8
3	？×？＝56	8、7	9、7	8、6	8、9
3	？×？＝64	8、8	9、8	8、7	8、6
3	？×？＝72	8、9	9、9	8、8	8、7
3	？×？＝9	9、1	８、1	9、0	9、3
3	？×？＝18	9、2	８、2	9、1	9、4
3	？×？＝27	9、3	８、3	9、2	9、5
3	？×？＝36	9、4	８、4	9、3	9、6
3	？×？＝45	9、5	８、5	9、4	9、7
3	？×？＝54	9、6	８、6	9、5	9、8
3	？×？＝63	9、7	８、7	9、6	9、9
3	？×？＝72	9、8	８、8	9、7	9、6
3	？×？＝81	9、9	８、9	9、8	9、7
3	?×5＝1?	2,0	1,0	2,1	3,1
3	?×6＝1?	2,2	1,2	2,3	3,3
3	?×7＝1?	2,4	1,4	2,5	3,5
3	?×8＝1?	2,6	1,6	2,7	3,7
3	?×9＝1?	2,8	1,8	2,9	3,9
3	?×4＝1?	3,2	2,2	3,3	4,3
3	?×5＝1?	3,5	2,5	3,6	4,6
3	?×6＝1?	3,8	2,8	3,9	4,9
3	?×7＝2?	3,1	2,1	3,2	4,2
3	?×8＝2?	3,4	2,4	3,5	4,5
3	?×9＝2?	3,7	2,7	3,8	4,8
3	?×3＝1?	4,2	3,2	4,3	5,3
3	?×4＝1?	4,6	3,6	4,7	5,7
3	?×5＝2?	4,0	3,0	4,1	5,1
3	?×6＝2?	4,4	3,4	4,5	5,5
3	?×7＝2?	4,8	3,8	4,9	5,9
3	?×8＝3?	4,2	3,1	4,3	5,3
3	?×9＝3?	4,6	3,5	4,7	5,7
3	?×2＝1?	5,0	4,0	5,1	6,1
3	?×3＝1?	5,5	4,5	5,6	6,6
3	?×4＝2?	5,0	4,0	5,1	6,1
3	?×5＝2?	5,5	4,5	5,6	6,6
3	?×6＝3?	5,0	4,0	5,1	6,1
3	?×7＝3?	5,5	4,5	5,6	6,6
3	?×8＝4?	5,0	4,0	5,1	6,1
3	?×9＝4?	5,5	4,5	5,6	6,6
3	?×2＝1?	6,2	5,2	6,3	7,3
3	?×3＝1?	6,8	5,8	6,9	7,9
3	?×4＝2?	6,4	5,4	6,5	7,5
3	?×5＝3?	6,0	5,0	6,1	7,1
3	?×6＝3?	6,6	5,6	6,7	7,7
3	?×7＝4?	6,2	5,2	6,3	7,3
3	?×8＝4?	6,8	5,8	6,9	7,9
3	?×9＝5?	6,4	5,4	6,5	7,5
3	?×2＝1?	7,4	6,4	7,5	8,5
3	?×3＝2?	7,1	6,1	7,2	8,2
3	?×4＝2?	7,8	6,8	7,9	8,9
3	?×5＝3?	7,5	6,5	7,6	8,6
3	?×6＝4?	7,2	6,1	7,3	8,3
3	?×7＝4?	7,9	6,9	7,0	8,0
3	?×8＝5?	7,6	6,6	7,7	8,7
3	?×9＝6?	7,3	6,3	7,4	8,4
3	?×2＝1?	8,6	7,6	8,7	9,7
3	?×3＝2?	8,4	7,4	8,5	9,5
3	?×4＝3?	8,2	7,2	8,3	9,3
3	?×5＝4?	8,0	7,0	8,1	9,1
3	?×6＝4?	8,8	7,8	8,9	9,9
3	?×7＝5?	8,6	7,6	8,7	9,7
3	?×8＝6?	8,4	7,4	8,5	9,5
3	?×9＝7?	8,2	7,2	8,3	9,3
3	?×2＝1?	9,8	8,8	9,9	7,7
3	?×3＝2?	9,7	8,7	9,8	8,8
3	?×4＝3?	9,6	8,6	9,7	8,7
3	?×5＝4?	9,5	8,5	9,6	8,6
3	?×6＝5?	9,4	8,4	9,5	8,5
3	?×7＝6?	9,3	8,3	9,4	8,4
3	?×8＝7?	9,2	8,2	9,3	8,3
3	?×9＝8?	9,1	8,1	9,2	8,2
